Index,Data
306,0.857506
307,0.857506
308,0.857506
309,0.857506
310,0.857506
311,0.857506
312,0.857506
313,0.857506
314,0.862966
315,0.862966
316,0.862966
317,0.862966
318,0.862966
319,0.862966
320,0.862966
321,0.862966
322,0.862966
323,0.862966
324,0.862966
325,0.862966
326,0.862966
327,0.862966
328,0.862966
329,0.862966
330,0.862966
331,0.862966
332,0.862966
333,0.862966
334,0.862966
335,0.862966
336,0.862966
337,0.862966
338,0.862966
339,0.862966
340,0.862966
341,0.862966
342,0.862966
343,0.862966
344,0.862966
345,0.862966
346,0.862966
347,0.862966
348,0.862966
349,0.862966
350,0.862966
351,0.862966
352,0.862966
353,0.862966
354,0.862966
355,0.862966
356,0.862966
357,0.862966
358,0.87734
359,0.87734
360,0.87734
361,0.87734
362,0.87734
363,0.87734
364,0.87734
365,0.87734
366,0.87734
367,0.87734
368,0.87734
369,0.87734
370,0.87734
371,0.87734
372,0.87734
373,0.87734
374,0.87734
375,0.87734
376,0.87734
377,0.87734
378,0.87734
379,0.87734
380,0.87734
381,0.87734
382,0.87734
383,0.87734
384,0.87734
385,0.87734
386,0.87734
387,0.87734
388,0.87734
389,0.87734
390,0.87734
391,0.87734
392,0.87734
393,0.87734
394,0.87734
395,0.87734
396,0.87734
397,0.878214
398,0.878214
399,0.878214
400,0.878214
401,0.878214
402,0.878214
403,0.878214
404,0.878214
405,0.878214
406,0.878214
407,0.878214
408,0.878214
409,0.878214
410,0.878214
411,0.878214
412,0.878214
413,0.878214
414,0.878214
415,0.878214
416,0.878214
417,0.878214
418,0.878214
419,0.878214
420,0.878214
421,0.878214
422,0.878214
423,0.878214
424,0.878214
425,0.878214
426,0.878214
427,0.878214
428,0.878214
429,0.878214
430,0.881231
431,0.881231
432,0.881231
433,0.881231
434,0.881231
435,0.881231
436,0.881231
437,0.881231
438,0.881231
439,0.881231
440,0.881231
441,0.881231
442,0.881231
443,0.881231
444,0.881231
445,0.881231
446,0.881231
447,0.881231
448,0.881231
449,0.881231
450,0.881231
451,0.881231
452,0.881231
453,0.881231
454,0.881231
455,0.881231
456,0.881231
457,0.881231
458,0.881231
459,0.881231
460,0.881231
461,0.881231
462,0.881231
463,0.881231
464,0.883519
465,0.883519
466,0.883519
467,0.883519
468,0.883519
469,0.883519
470,0.883519
471,0.883519
472,0.883519
473,0.883519
474,0.883519
475,0.883519
476,0.883519
477,0.883519
478,0.883519
479,0.883519
480,0.883519
481,0.883519
482,0.883519
483,0.883519
484,0.883519
485,0.883519
486,0.883519
487,0.883519
488,0.883519
489,0.883519
490,0.883519
491,0.883519
492,0.883519
493,0.883519
494,0.883519
495,0.883519
496,0.883519
497,0.883519
498,0.883519
499,0.883519
500,0.883519
