Index,Data
370,0.877982
371,0.877429
372,0.878717
373,0.877611
374,0.87748
375,0.877418
376,0.87734
377,0.877429
378,0.878124
379,0.877384
380,0.877638
381,0.87815
382,0.87734
383,0.877426
384,0.877638
385,0.877379
386,0.878084
387,0.877638
388,0.877408
389,0.87734
390,0.87761
391,0.877399
392,0.87734
393,0.87734
394,0.877977
395,0.877437
396,0.878214
397,0.87859
398,0.87825
399,0.878214
400,0.878474
401,0.878525
402,0.880567
403,0.87823
404,0.878547
405,0.878228
406,0.878529
407,0.878263
408,0.883638
409,0.878434
410,0.87833
411,0.878214
412,0.878257
413,0.87831
414,0.878308
415,0.87835
416,0.878257
417,0.878236
418,0.878214
419,0.878247
420,0.878307
421,0.878837
422,0.878868
423,0.878452
424,0.878351
425,0.87822
426,0.878978
427,0.878581
428,0.878679
429,0.881231
430,0.881487
431,0.881231
432,0.88132
433,0.881306
434,0.881245
435,0.881639
436,0.881268
437,0.881277
438,0.88132
439,0.881471
440,0.88352
441,0.881641
442,0.882323
443,0.881231
444,0.882201
445,0.881231
446,0.88132
447,0.881264
448,0.88143
449,0.882063
450,0.881467
451,0.881948
452,0.881231
453,0.881527
454,0.881917
455,0.883885
456,0.881529
457,0.881509
458,0.881231
459,0.881529
460,0.881231
461,0.88161
462,0.881231
463,0.883519
464,0.883733
465,0.883521
466,0.883985
467,0.885765
468,0.883519
469,0.88403
470,0.883519
471,0.883658
472,0.883738
473,0.883823
474,0.883709
475,0.883519
476,0.883519
477,0.883519
478,0.883519
479,0.883519
480,0.885436
481,0.883519
482,0.883536
483,0.883917
484,0.883519
485,0.883519
486,0.883527
487,0.883563
488,0.883519
489,0.883558
490,0.883519
491,0.883519
492,0.883519
493,0.883519
494,0.884598
495,0.883538
496,0.883522
497,0.883644
498,0.883519
499,0.88354
